date, pm25, pm10, o3, no2, so2, co
01/07/2022,38,40,30, , , 
02/07/2022,35, , , , , 
08/07/2022,155,19,9, , , 
09/07/2022,156,11,17, , ,1
10/07/2022,96,15,15, , ,1
11/07/2022,23,17,16, , ,1
12/07/2022,26,20,17, , ,1
13/07/2022,28,20,22, , ,1
14/07/2022,46,26,21, , ,1
15/07/2022,71,45,31, ,1,1
16/07/2022,57,37,26, , , 
17/07/2022,36,14,22, , , 
18/07/2022,157,20,23, , , 
19/07/2022,96,24,22, , , 
20/07/2022,38,30,28, , , 
21/07/2022,39,36,31, ,1, 
22/07/2022,42,35,29, , , 
23/07/2022,38,43,37, , , 
24/07/2022,42,31,30, , , 
25/07/2022,39,32,23, , , 
26/07/2022,41,38,30, , , 
27/07/2022,33,30,20, , , 
28/07/2022,32,28,23, , , 
29/07/2022,34,33,23, , , 
30/07/2022,36,20,23, , , 
31/07/2022,28,18,28, , ,1
01/08/2022,28,23,26, , ,1
02/08/2022,31,24,23, , ,1
03/08/2022,31,24,24, , ,1
04/08/2022,33,24,30, , ,1
05/08/2022,28,30,30, , , 
08/08/2022,33,28,24, , ,2
09/08/2022,32,29,22, , ,1
10/08/2022,34,22,25, , , 
11/08/2022,33,25,16, , , 
12/08/2022,32,26,11, , ,1
13/08/2022,30,32,6, , , 
14/08/2022,92,25,21, , , 
15/08/2022,43,26,17, , , 
16/08/2022,33,28,21, , , 
17/08/2022,35,38,24, , ,1
18/08/2022,40,40,16, ,1, 
19/08/2022,33,46,12, , , 
20/08/2022,37,33,17, , , 
21/08/2022,33,20,17, , , 
22/08/2022,30,19,15, , , 
23/08/2022,28,18,15, , , 
25/08/2022,103,51,16, , , 
26/08/2022,40,49,26, , , 
27/08/2022,37,38, , , , 
29/08/2022,40,28,15, , , 
30/08/2022,36,50,5, , , 
31/08/2022,103,50,11, , , 
01/09/2022,109,23,8, , , 
02/09/2022,103,14,10, , ,1
03/09/2022,101,22,13, , ,1
04/09/2022,72,18,13, , ,1
05/09/2022,29,23,10, , ,2
06/09/2022,34,25,8, , ,2
08/09/2022,37,32,8, , ,2
09/09/2022,30,32,13, , ,2
10/09/2022,32,23,13, , ,1
11/09/2022,31,17,8, , ,1
12/09/2022,29,22,12, , ,2
13/09/2022,31,33,6, , ,2
14/09/2022,38,35,5, , ,3
15/09/2022,96,45,6, , ,3
16/09/2022,34,36,1, , ,3
17/09/2022,29,14,9, , ,1
18/09/2022,27,18,10, , ,2
19/09/2022,30,20,7, , ,2
20/09/2022,27,15,10, ,1,2
21/09/2022,27,11,12, ,1,2
22/09/2022,27,25,8, , ,4
23/09/2022,32,31,7, , ,4
24/09/2022,29,33,11, , ,5
01/04/2022,82,13,19, , ,3
02/04/2022,42,8,14, , ,3
03/04/2022,15,24,9, , ,4
04/04/2022,24,31,6, , ,4
05/04/2022,33,41,6, , ,4
06/04/2022,42,38,8, , ,3
07/04/2022,26,30,14, , ,3
08/04/2022,92,25,18, , ,2
09/04/2022,83,14,17, , ,1
10/04/2022,15,10,22, , ,1
11/04/2022,81,26,7, , ,3
12/04/2022,100,43,10, , ,4
13/04/2022,42,41,11, , ,3
14/04/2022,43,45,11, ,1,4
15/04/2022,51,42,23, , ,2
16/04/2022,45,15,15, , ,1
17/04/2022,18,8,12, , ,2
18/04/2022,15,22,14, , ,2
19/04/2022,29,26,9, , ,2
20/04/2022,29,42,1, , ,4
21/04/2022,36,44,12, , ,4
22/04/2022,52,28,18, , ,2
23/04/2022,79,23,14, , ,2
24/04/2022,86,29,22, , ,1
25/04/2022,26,22,18, , ,1
26/04/2022,26,34,11, , ,2
27/04/2022,34,27,17, , , 
28/04/2022,29,18,17, , , 
29/04/2022,20,23,14, , , 
30/04/2022,26,27,9, , , 
01/05/2022,25,23,9, , , 
02/05/2022,131,20,7, , ,1
03/05/2022,65,28,14, , ,1
04/05/2022,36,41,9, , ,1
05/05/2022,44,38,7, , ,1
06/05/2022,43,35,12, , , 
07/05/2022,42,31,17, , , 
08/05/2022,35,34,11, , , 
09/05/2022,40,31,15, , , 
10/05/2022,41,29,20, , , 
11/05/2022,49,38,16, , , 
12/05/2022,45,40,18, , , 
13/05/2022,47,42,22, , , 
14/05/2022,46,25,24, , , 
15/05/2022,33,31,22, , , 
16/05/2022,37,42,13, , , 
17/05/2022,49,26,22, , , 
18/05/2022,44,19,16, , , 
19/05/2022,26,31,17, , , 
20/05/2022,38,36,26, , , 
21/05/2022,45,36,20, , , 
22/05/2022,38,35,7, , ,2
23/05/2022,34,43,14, , ,1
24/05/2022,50,45,9, , ,1
25/05/2022,46,43,19, , , 
26/05/2022,56,44,12, , , 
27/05/2022,41,48,10, , , 
28/05/2022,40,31,9, , ,2
29/05/2022,24,33,8, , ,1
30/05/2022,33,35,11, , ,1
31/05/2022,37,40,14, , ,1
01/06/2022,39,46,16, , , 
02/06/2022,39,38,21, , , 
03/06/2022,129,46,19, , , 
04/06/2022,40,38,21, , , 
05/06/2022,38,40,13, , , 
06/06/2022,32,34,13, , , 
07/06/2022,29,35,13, , , 
08/06/2022,31,30,9, , , 
09/06/2022,32,28,11, , , 
10/06/2022,102,18,13, , , 
11/06/2022,154,20,16, , , 
12/06/2022,102,24,16, , , 
13/06/2022,28,29,19, , , 
14/06/2022,29,24,23, , , 
15/06/2022,33,29,17, , , 
16/06/2022,39,36,23, , , 
17/06/2022,40,25,21, , , 
18/06/2022,35,25,20, , , 
19/06/2022,23, ,21, , ,2
21/06/2022,153,44,15, , ,1
22/06/2022,37,53,14, , ,1
23/06/2022,39,48,21, , , 
24/06/2022,33,52,17, , , 
25/06/2022,38,32,23, , , 
26/06/2022,29,42,23, , , 
27/06/2022,34,53,21, , , 
28/06/2022,36,28,16, , , 
29/06/2022,92,34,25, , , 
30/06/2022,37,43,21, , ,1
03/01/2022,115,83,1,10,1,16
04/01/2022,136,103,1,11,1,16
05/01/2022,145,94,8,6,1,14
06/01/2022,131,20,12,2, ,3
07/01/2022,42,65,4,6, ,8
08/01/2022,95,80,2,5,1,11
09/01/2022,123,18,7,3,1,5
10/01/2022,106,14,13,2,1,3
11/01/2022,36,18,15,2,1,3
12/01/2022,48,32,21,2,2,3
13/01/2022,63,68,10,7,2,10
14/01/2022,110,67,14,9,1,12
15/01/2022,107,63,5,8,1,10
16/01/2022,103,83,2,10,1,13
17/01/2022,131,27,16,3,2,4
18/01/2022,61,37,20,5,1,6
19/01/2022,145,73,4,10,2,13
20/01/2022,114,51,14,7,1,10
21/01/2022,91,18,18,3,1,4
22/01/2022,36,14,20,2,1,3
23/01/2022,31,19,19,3,1,4
24/01/2022,38,35,17,4,2,7
25/01/2022,60,70,5,7,2,13
26/01/2022,113,69,4,9,1,13
27/01/2022,101,70,8,9,1,14
28/01/2022,101,31,15,5,1,7
29/01/2022,53,58,8,8, ,12
30/01/2022,87,68,3,13,1,16
31/01/2022,103,46,10,7, ,10
01/02/2022,76,24,14,5,1,5
02/02/2022,41,19,19,4,1,5
03/02/2022,31,46,9,9, ,10
04/02/2022,65,91,3,12, ,16
05/02/2022,120,96,8,10,1,18
07/02/2022,78,15,22,4, ,5
08/02/2022,25,29,16,13, ,5
09/02/2022,65,56,3,15,1,10
10/02/2022,83,63,2,15,1,12
11/02/2022,90,40,11,17,1,8
12/02/2022,64,37,10, , ,8
13/02/2022,49,63,2, ,1,14
14/02/2022,61,59,4, , ,13
15/02/2022,56,56,4, , ,12
16/02/2022,64,60,2, , ,13
17/02/2022,68,38,13, , ,11
18/02/2022,56,47,10, , ,13
19/02/2022,65,49,7, , ,12
20/02/2022,72,38,6, , ,8
21/02/2022,49,24,12, , ,3
22/02/2022,30,16,15, , ,1
23/02/2022,26,21,16, , ,2
24/02/2022,29,49,3, , ,7
25/02/2022,61,55,8, ,1,6
26/02/2022,77,29,8, , ,3
27/02/2022,43,13,12, , ,3
28/02/2022,26,19,11, , ,3
01/03/2022,135,21,14, , ,3
02/03/2022,47,36,13, ,1,5
03/03/2022,49,51,4, , ,8
04/03/2022,68,51,14, ,1,6
05/03/2022,58,72,2, , ,15
06/03/2022,91,28,12, , ,6
07/03/2022,49,25,15, , ,5
08/03/2022,35,25,16, , ,4
09/03/2022,35,25,14, , ,5
10/03/2022,117,27,16, , ,6
11/03/2022,36,28,18, ,1,5
12/03/2022,45,39,14, , ,7
13/03/2022,56,50,7, ,1,6
14/03/2022,65,60,4, ,1,6
15/03/2022,76,60,4, ,1,6
16/03/2022,77,44,8, , ,2
17/03/2022,77,27,9, , ,2
18/03/2022,83,33,8, , ,2
19/03/2022,70,26,18, , ,1
20/03/2022,41,39,15, , ,3
21/03/2022,54,33,21, , ,1
22/03/2022,51,33,16, , ,2
23/03/2022,44,46,23, ,1,4
24/03/2022,57,44,27, ,1,3
25/03/2022,58,39,19, ,1,3
26/03/2022,44,47,22, ,1,4
27/03/2022,65,60,6, ,1,6
28/03/2022,67,47,8, , ,4
29/03/2022,54,54,4, , ,5
30/03/2022,47,63,7, , ,6
31/03/2022,112,49,13, , ,4
01/10/2021,42,28,13,3, ,1
02/10/2021,54,34,14,3, ,2
03/10/2021,64,38,8,5, ,3
04/10/2021,147,42,10,6, ,3
05/10/2021,75,36,8,5, ,2
06/10/2021,74,21,11,4, ,1
07/10/2021,48,18,4,5, ,3
08/10/2021,41,4,3,7, ,2
09/10/2021,21,12,1,9, ,2
10/10/2021,36,14,3,9, ,2
11/10/2021,29,35,9,7, ,1
12/10/2021,16,25,10,7, ,1
13/10/2021,142,11,10,6, , 
14/10/2021,25,6,11,2, ,1
15/10/2021,21,9,13,2, ,1
16/10/2021,24,21,17,1, ,1
17/10/2021,47,36,8,5, ,3
18/10/2021,69,39,9,6, ,3
19/10/2021,72,41,5,6, ,3
20/10/2021,80,48,6,6, ,4
21/10/2021,88,51,4,7, ,5
22/10/2021,100,55,9,6, ,6
25/10/2021,73,37,4,7,1,4
26/10/2021,71,43,7,7, ,5
27/10/2021,82,55,6,9,1,6
28/10/2021,105,58,4,9,1,7
29/10/2021,111,58,6,7,1,6
30/10/2021,110,54,7,6,1,6
31/10/2021,102,62,4,8,1,6
01/11/2021,119,55,3,6, ,2
02/11/2021,100,59,2,10, ,5
